,EDICAO,UF,MUNICIPIO,INSTITUICAO,CURSO,TURNO,NOTA_CORTE
48,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,ADMINISTRAÇÃO,Noturno,"596,36"
49,20191,PI,Campo Maior,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ADMINISTRAÇÃO,Noturno,"596,63"
50,20191,AP,Laranjal do Jari,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",ADMINISTRAÇÃO,Matutino,"597,62"
51,20191,PI,Cocal,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AGROECOLOGIA,Vespertino,"537,68"
52,20191,PB,Picuí,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",AGROECOLOGIA,Integral,"538,74"
53,20191,PB,Sumé,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,AGROECOLOGIA,Integral,"547,32"
54,20191,PB,Sousa,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",AGROECOLOGIA,Integral,"549,26"
55,20191,AC,Cruzeiro do Sul,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE",AGROECOLOGIA,Vespertino,"549,38"
56,20191,RS,São Lourenço do Sul,UNIVERSIDADE FEDERAL DO RIO GRANDE,AGROECOLOGIA,Integral,"549,68"
57,20191,BA,Uruçuca,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO",AGROECOLOGIA,Integral,"553,22"
58,20191,RN,Ipanguaçu,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",AGROECOLOGIA,Matutino,"556,38"
